"Post","Content_URL"
"infosys racialdiscrimination former exec accuses infosys of racial discrimination","https://twitter.com/1_WIZZ/status/1199043104780824576"
"dear infosys is that  girls murderer standing on wheelchairershead on your washroom door   ","https://twitter.com/siddhes6884/status/1198974407772819456"
"sebiindia how many days u want to investigate the whistleblower case of infosys don’t you feel ashamed why are u delaying the reportnarendramodi nsitharaman tvmohandaspai nandannilekani","https://twitter.com/gurubalig/status/1198889891754438656"
"dont think wipro has been ever found guilty of any major fraud complains must be juvenile like infosys","https://twitter.com/wittysankalp/status/1198837860574457857"
"infosysevents infosys is typical fraudulent indian<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E33> company taking millions americans jobs by massive hb l frauds amp cheating it should be permanently banned in usa loudobbs uscis ustechworkers supallofus realdonaldtrump fbi icegov marcorubio mariabartiromo americafirst","https://twitter.com/peter_zhang2013/status/1196782312412897280"
"infosysevents this indian <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E33> company infosys sends billions usd profit back india <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E33> by displaced millions of americans workers mariabartiromo loudobbs uscis","https://twitter.com/peter_zhang2013/status/1196782936156254208"
"infosyscareers infosys is typical fraudulent indian<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E33> company taking millions americans jobs by massive hb l frauds amp cheating it should be permanently banned in usa 
loudobbs uscis ustechworkers
 realdonaldtrump fbi icegov
mariabartiromo americafirst","https://twitter.com/peter_zhang2013/status/1196916389300359174"
"jackposobiec rebaliza indians <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E33>  they are indians <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E33>  massively one million tech jobs were lost to indians <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E33> in last decade according to uscis they were brought purposely by tech companies like intel tata hcl icc infosys because of cheaper labor and they cheated amp abused hb working visa","https://twitter.com/peter_zhang2013/status/1198216684273905664"
"fei slimshadyrap rebaliza aroundjenny chris chineseaz indians from icc hcl tata infosys etc  please stop your massive hb l working visa fraud","https://twitter.com/peter_zhang2013/status/1197536282534203399"
"infosys whistleblowing or crying wolf the it giant has been no stranger to anonymous complaints but the whistleblower mechanism may have just devolved into a tool to rock its boat","https://twitter.com/forbes_india/status/1196661882280480768"
